genre,chinese,preferred_english,notes
wuxia,江湖,Thug Life,more local; was: jianghu; (prev: often better kept as jianghu)
wuxia,武林,martial world,depends on tone
wuxia,掌门,sect leader,lock one version
wuxia,长老,elder,hierarchy may vary
wuxia,内力,inner force,style choice
wuxia,轻功,lightness skill,both qinggong and lightness skill are common
wuxia,剑法,sword art,depends on naming style
wuxia,刀法,blade art,keep style aligned
wuxia,暗器,hidden weapon,common wuxia term
wuxia,武学,martial art,broad category term
wuxia,师父,master,normal translation
wuxia,师傅,master,normal translation
wuxia,大侠,great hero,respectful address
wuxia,侠客,xiake,knight-errant; transliteration preserves flavor
wuxia,侠女,heroine,female counterpart of xiake
wuxia,侠义,chivalry,core virtue concept
wuxia,武功,martial arts,umbrella term for fighting skills
wuxia,招式,move,single technique unit
wuxia,拳法,fist technique,bare-handed art
wuxia,掌法,palm technique,palm-based art
wuxia,腿法,leg technique,kicking-based art
wuxia,棍法,staff technique,staff weapon art
wuxia,枪法,spear technique,spear weapon art
wuxia,鞭法,whip technique,whip weapon art
wuxia,内功,internal cultivation,energy-based training
wuxia,外功,external martial arts,body-conditioning training
wuxia,心法,mental art,inner cultivation manual
wuxia,真气,true qi,refined inner energy
wuxia,经脉,meridians,energy channels in the body
wuxia,穴道,acupoints,vital pressure points
wuxia,点穴,point-locking,acupoint-strike technique
wuxia,走火入魔,qi deviation,dangerous cultivation accident
wuxia,金钟罩,Golden Bell Shield,defensive body art
wuxia,铁布衫,Iron Shirt,defensive body art
wuxia,内伤,internal injury,energy-channel damage
wuxia,神功,divine art,top-tier martial art
wuxia,绝学,ultimate art,sect's pinnacle technique
wuxia,绝技,signature skill,trademark technique
wuxia,武林盟主,martial alliance leader,top jianghu authority
wuxia,帮主,gang leader,leads a bang faction
wuxia,教主,cult leader,leads a religious sect
wuxia,门主,sect head,alternative to zhangmen
wuxia,弟子,disciple,sect student
wuxia,师兄,senior martial brother,older male disciple of same master
wuxia,师弟,junior martial brother,younger male disciple of same master
wuxia,师姐,senior martial sister,older female disciple
wuxia,师妹,junior martial sister,younger female disciple
wuxia,师叔,martial uncle,master's junior sibling-in-art
wuxia,师伯,senior martial uncle,master's senior sibling-in-art
wuxia,师娘,master's wife,respectful address
wuxia,徒弟,apprentice,personal student
wuxia,高手,expert,skilled fighter
wuxia,后辈,junior,younger generation
wuxia,宝剑,treasured sword,prized straight blade
wuxia,宝刀,treasured saber,prized curved blade
wuxia,长剑,longsword,standard jian
wuxia,短剑,shortsword,small jian or dagger-sword
wuxia,双剑,twin swords,paired-sword style
wuxia,长枪,long spear,polearm
wuxia,长矛,lance,heavy polearm
wuxia,长鞭,long whip,flexible weapon
wuxia,飞镖,throwing dart,small thrown weapon
wuxia,飞刀,flying knife,thrown blade
wuxia,弓箭,bow and arrow,ranged weapon set
wuxia,名门正派,orthodox sect,righteous-faction sect
wuxia,邪派,heterodox sect,non-orthodox faction
wuxia,魔教,demonic cult,evil-aligned faction
wuxia,武林大会,martial arts conference,jianghu summit
wuxia,武林秘籍,martial arts manual,secret skill text
wuxia,闯荡江湖,roam the jianghu,wander the martial world
wuxia,退隐江湖,retire from jianghu,leave the martial world
wuxia,隐居,live in seclusion,reclusive lifestyle
wuxia,比武,martial duel,formal contest
wuxia,切磋,friendly bout,sparring
wuxia,单挑,one-on-one duel,solo fight
wuxia,围攻,group attack,collective assault
wuxia,偷袭,sneak attack,surprise strike
wuxia,解药,antidote,poison cure
wuxia,毒药,poison,toxic agent
wuxia,神医,divine doctor,master physician
