genre,chinese,preferred_english,notes
xiuxian,修仙,cultivation,broad umbrella term
xiuxian,修士,cultivator,most common default is cultivator
xiuxian,灵石,spirit stone,lock one
xiuxian,功法,cultivation method,highly context-sensitive
xiuxian,心法,mental method,often paired with 功法
xiuxian,境界,realm,usually use realm
xiuxian,突破,breakthrough,important progression term
xiuxian,闭关,closed-door cultivation,keep stable
xiuxian,本命法宝,life-bound treasure,choose one style
xiuxian,传承,inheritance,lore-dependent
xiuxian,炼气,Qi Refining,first major realm
xiuxian,筑基,Foundation Establishment,second major realm; avoid Base Building
xiuxian,金丹,Golden Core,third major realm
xiuxian,元婴,Nascent Soul,fourth major realm
xiuxian,化神,Spirit Transformation,fifth major realm
xiuxian,炼虚,Void Refinement,sixth major realm
xiuxian,合体,Body Integration,seventh major realm
xiuxian,大乘,Mahayana,eighth major realm
xiuxian,渡劫期,Tribulation Crossing stage,realm name preceding ascension
xiuxian,真仙,True Immortal,post-ascension tier
xiuxian,金仙,Golden Immortal,higher immortal tier
xiuxian,太乙,Taiyi,supreme cosmic tier label
xiuxian,大罗,Daluo,top cosmic tier label
xiuxian,后期,late stage,sub-tier descriptor
xiuxian,中期,mid stage,sub-tier descriptor
xiuxian,前期,early stage,sub-tier descriptor
xiuxian,巅峰,peak,sub-tier descriptor
xiuxian,圆满,perfection,maxed sub-tier
xiuxian,瓶颈,bottleneck,progression block
xiuxian,散修,rogue cultivator,unaffiliated practitioner
xiuxian,灵力,spiritual power,refined cultivation energy
xiuxian,元气,primordial qi,base life energy
xiuxian,真气,true qi,refined qi
xiuxian,内丹,inner core,internal energy core
xiuxian,神识,divine sense,extended perception
xiuxian,道基,Dao foundation,foundational stage of the Dao
xiuxian,道行,Dao attainment,depth of the Dao
xiuxian,修为,cultivation base,overall cultivation level
xiuxian,法力,magical power,casting strength
xiuxian,天赋,talent,innate gift
xiuxian,资质,aptitude,natural cultivation potential
xiuxian,悟性,comprehension,insight ability
xiuxian,顿悟,sudden enlightenment,instant realization
xiuxian,入定,meditation,cultivation trance
xiuxian,冥想,contemplate,mental focus practice
xiuxian,吐纳,breath cultivation,qi-breathing exercise
xiuxian,周天,microcosmic orbit,small qi-circulation cycle
xiuxian,大周天,macrocosmic orbit,greater qi-circulation cycle
xiuxian,灵根,spiritual root,innate cultivation aptitude
xiuxian,道侣,Dao companion,cultivation partner
xiuxian,宗门,sect,cultivation organization
xiuxian,仙门,immortal gate,top-tier sect
xiuxian,仙宗,immortal sect,fairy-aligned sect
xiuxian,内门弟子,inner sect disciple,higher-status disciple
xiuxian,外门弟子,outer sect disciple,lower-status disciple
xiuxian,真传弟子,true disciple,direct-line disciple
xiuxian,亲传弟子,personal disciple,master's hand-picked student
xiuxian,记名弟子,named disciple,registered but limited disciple
xiuxian,杂役弟子,chore disciple,labor-tier disciple
xiuxian,长老,elder,senior sect figure
xiuxian,太上长老,Grand Elder,topmost sect elder
xiuxian,宗主,sect master,head of sect
xiuxian,副宗主,vice sect master,second-in-command
xiuxian,圣地,holy land,sacred high-tier site
xiuxian,道统,Dao lineage,sect's transmitted teachings
xiuxian,下品灵石,low-grade spirit stone,lowest currency tier
xiuxian,中品灵石,mid-grade spirit stone,middle currency tier
xiuxian,上品灵石,high-grade spirit stone,upper currency tier
xiuxian,极品灵石,supreme-grade spirit stone,topmost currency tier
xiuxian,储物袋,storage bag,space-magic pouch
xiuxian,储物戒指,storage ring,space-magic ring
xiuxian,玉简,jade slip,knowledge-recording medium
xiuxian,传讯玉符,messaging talisman,communication item
xiuxian,灵兽袋,spirit beast pouch,beast-storage container
xiuxian,法宝,magical treasure,common cultivation tool
xiuxian,灵器,spiritual artifact,low-tier magical item
xiuxian,仙器,immortal artifact,immortal-tier item
xiuxian,神器,divine artifact,deity-tier item
xiuxian,至宝,supreme treasure,top-tier rare item
xiuxian,灵药,spiritual herb,refining-grade plant
